"claim_no","claim_amount_true"
"H01498",1100.76
"H01499",1095.92
"H01500",1083.25
"H01501",1077.67
"H01502",1036.74
"H01503",1035.58
"H01504",986.12
"H01505",984.11
"H01506",978.43
"H01507",972.45
"H01508",961.89
"H01509",932.41
"H01510",904.23
"H01511",893.56
"H01512",893.03
"H01513",855.15
"H01514",843.69
"H01515",841.85
"H01516",838.57
"H01517",828.13
"H01518",821.63
"H01519",774.64
"H01520",773.68
"H01521",771.51
"H01522",754.31
"H01523",745.61
"H01524",740.38
"H01525",736.7
"H01526",726.69
"H01527",724.77
"H01528",709.59
"H01529",706.2
"H01530",694.91
"H01531",693.13
"H01532",672.78
"H01533",661.55
"H01534",651.27
"H01535",621.56
"H01536",586.14
"H01537",584.83
"H01538",579.85
"H01539",564.93
"H01540",564.05
"H01541",551.78
"H01542",549.77
"H01543",540
"H01544",539.08
"H01545",537.65
"H01546",522.94
"H01547",516.06
"H01548",505.2
"H01549",503.49
"H01550",500
"H01551",497.85
"H01552",495.81
"H01553",492.69
"H01554",491.63
"H01555",485.84
"H01556",480
"H01557",471.9
"H01558",471.19
"H01559",468.2
"H01560",446.71
"H01561",441.8
"H01562",419.15
"H01563",403.3
"H01564",398.99
"H01565",398.1
"H01566",384.97
"H01567",378.57
"H01568",375
"H01569",365.89
"H01570",359.83
"H01571",358.7
"H01572",348.09
"H01573",346.63
"H01574",343.15
"H01575",339.72
"H01576",337.78
"H01577",336.83
"H01578",294.83
"H01579",284.54
"H01580",228
"H01581",221.3
"H01582",196.14
"H01583",177.6
"H01584",177.42
"H01585",168.53
"H01586",152.12
"H01587",149.85
"H01588",146.25
"H01589",139.79
"H01590",131.76
"H01591",73.54
"H01592",50
"H01593",41.12
"H01594",22.79
"H01595",33137.5
"H01596",16161.53
"H01597",15031.42
"H01598",11511.81
"H01599",9960.93
"H01600",7293.43
"H01601",7017.57
"H01602",6613.76
"H01603",6466.1
"H01604",6283.59
"H01605",6258.64
"H01606",5794.99
"H01607",4750
"H01608",4710.29
"H01609",4551.51
"H01610",4188.37
"H01611",4184.44
"H01612",4006.3
"H01613",3816.26
"H01614",3754.51
"H01615",3495.14
"H01616",3324.48
"H01617",3140.66
"H01618",3090.25
"H01619",3065
"H01620",3029.44
"H01621",3000
"H01622",2840.67
"H01623",2542.46
"H01624",2541.47
"H01625",2525.65
"H01626",2504.55
"H01627",2313.75
"H01628",2276.74
"H01629",2176.36
"H01630",2137.4
"H01631",2110.88
"H01632",2106.46
"H01633",2093.36
"H01634",2050.74
"H01635",1983.49
"H01636",1971.75
"H01637",1956
"H01638",1914.81
"H01639",1870.58
"H01640",1789.15
"H01641",1747.35
"H01642",1725.53
"H01643",1717.59
"H01644",1692.18
"H01645",1655.51
"H01646",1650
"H01647",1622.73
"H01648",1599.63
"H01649",1559.85
"H01650",1552.65
"H01651",1550
"H01652",1533.34
"H01653",1521.74
"H01654",1518.12
"H01655",1516.48
"H01656",1497.35
"H01657",1396.66
"H01658",1379.9
"H01659",1366.86
"H01660",1365.8
"H01661",1311.22
"H01662",1310.25
"H01663",1188.97
"H01664",1188.74
"H01665",1185.87
"H01666",1159.03
"H01667",1117.01
"H01668",1116.25
"H01669",1115.89
"H01670",1110.83
"H01671",1098.29
"H01672",1094.48
"H01673",1093.93
"H01674",1088.73
"H01675",1074.35
"H01676",1045.19
"H01677",1043.75
"H01678",1016.43
"H01679",1013.28
"H01680",939.24
"H01681",860.67
"H01682",858.41
"H01683",856.43
"H01684",848.87
"H01685",831.8
"H01686",828.41
"H01687",796.8
"H01688",770.73
"H01689",764.62
"H01690",759.57
"H01691",746.6
"H01692",730
"H01693",726.13
"H01694",705.76
"H01695",698.2
"H01696",668.74
"H01697",659.07
"H01698",653.18
"H01699",636.15
"H01700",613.65
"H01701",610.16
"H01702",591.15
"H01703",588.19
"H01704",582.62
"H01705",551.4
"H01706",544.11
"H01707",540.38
"H01708",527.11
"H01709",524.69
"H01710",500
"H01711",477.8
"H01712",471.35
"H01713",470.84
"H01714",439.45
"H01715",419.92
"H01716",417.97
"H01717",404
"H01718",394.48
"H01719",393.5
"H01720",386.35
"H01721",379.28
"H01722",378.67
"H01723",368.45
"H01724",362.46
"H01725",360.83
"H01726",332.72
"H01727",331.57
"H01728",312.7
"H01729",309.67
"H01730",292.44
"H01731",267.68
"H01732",265.23
"H01733",264.91
"H01734",261.64
"H01735",260.56
"H01736",248.69
"H01737",243.38
"H01738",235.51
"H01739",225.16
"H01740",224.66
"H01741",221.7
"H01742",221.04
"H01743",217.44
"H01744",217.21
"H01745",210
"H01746",195
"H01747",189.57
"H01748",187.73
"H01749",171.35
"H01750",162.59
"H01751",150.95
"H01752",137.1
"H01753",123.92
"H01754",120.76
"H01755",111.3
"H01756",103.75
"H01757",98.22
"H01758",96.45
"H01759",75
"H01760",51.37
"H01761",50
"H01762",50
"H01763",22.55
"H01764",20.93
"H01765",15
"H01766",13303.17
"H01767",11511.72
"H01768",8034.83
"H01769",7751.01
"H01770",7135.59
"H01771",6768.71
"H01772",6593.17
"H01773",6463.21
"H01774",6267.53
"H01775",6210.66
"H01776",6090.02
"H01777",5812.6
"H01778",5344.67
"H01779",5175.2
"H01780",4924.74
"H01781",4635.37
"H01782",4543.95
"H01783",3872.81
"H01784",3806.45
"H01785",3510.27
"H01786",3387.75
"H01787",3103.56
"H01788",2978.34
"H01789",2968.49
"H01790",2960.83
"H01791",2909.74
"H01792",2718.87
"H01793",2570.92
"H01794",2489.27
"H01795",2436.6
"H01796",2390
"H01797",2299.2
"H01798",2274.7
"H01799",2194.43
"H01800",2152.38
"H01801",2097.21
"H01802",1945.2
"H01803",1881.4
"H01804",1837.28
"H01805",1824.53
"H01806",1812.15
"H01807",1765.57
"H01808",1727.33
"H01809",1700.22
"H01810",1676.39
"H01811",1676
"H01812",1655.87
"H01813",1643.5
"H01814",1627
"H01815",1618.47
"H01816",1578.3
"H01817",1505.43
"H01818",1484.96
"H01819",1424.51
"H01820",1379.86
"H01821",1364.79
"H01822",1362.3
"H01823",1353.43
"H01824",1331.73
"H01825",1308.64
"H01826",1288.68
"H01827",1265.9
"H01828",1238.87
"H01829",1235.07
"H01830",1217.1
"H01831",1215.4
"H01832",1206.44
"H01833",1172.96
"H01834",1153.12
"H01835",1140.02
"H01836",1114.88
"H01837",1097.59
"H01838",1097.41
"H01839",1069.46
"H01840",1031.69
"H01841",1016
"H01842",1015
"H01843",1002.85
"H01844",989.53
"H01845",923.79
"H01846",913.17
"H01847",910.01
"H01848",900
"H01849",869.93
"H01850",861.79
"H01851",857.4
"H01852",856.81
"H01853",841.73
"H01854",812.98
"H01855",797.42
"H01856",787.22
"H01857",784.39
"H01858",769.13
"H01859",766.9
"H01860",763.66
"H01861",759.15
"H01862",757.19
"H01863",756.38
"H01864",750
"H01865",738.51
"H01866",731.03
"H01867",730.59
"H01868",700
"H01869",696.83
"H01870",693.96
"H01871",681.14
"H01872",680.01
"H01873",679.2
"H01874",678.49
"H01875",673.93
"H01876",636.7
"H01877",629.68
"H01878",623.89
"H01879",597.06
"H01880",593.14
"H01881",579.38
"H01882",579.18
"H01883",576.57
"H01884",564.6
"H01885",562.05
"H01886",555.61
"H01887",544.14
"H01888",543.54
"H01889",541.67
"H01890",527.34
"H01891",525.23
"H01892",525.14
"H01893",516.87
"H01894",500
"H01895",499.91
"H01896",497.22
"H01897",465.04
"H01898",451.31
"H01899",445.92
"H01900",439.08
"H01901",394
"H01902",364.63
"H01903",342.24
"H01904",335.58
"H01905",332.06
"H01906",331.96
"H01907",315.53
"H01908",315
"H01909",309.53
"H01910",308.96
"H01911",298.19
"H01912",296.64
"H01913",296.61
"H01914",280.36
"H01915",276.41
"H01916",271.36
"H01917",221.76
"H01918",220.76
"H01919",216.67
"H01920",151.75
"H01921",111.99
"H01922",87
"H01923",10
"H01924",21404.96
"H01925",19348.67
"H01926",17381.23
"H01927",14958.11
"H01928",13835.56
"H01929",10527.4
"H01930",8899.39
"H01931",8785.14
"H01932",7851.75
"H01933",7751.55
"H01934",7240.46
"H01935",6686.93
"H01936",5711.53
"H01937",5705.38
"H01938",4784.73
"H01939",4140.34
"H01940",3804.44
"H01941",3760.07
"H01942",3649.93
"H01943",3100.86
"H01944",3000
"H01945",2839.35
"H01946",2819.38
"H01947",2757.83
"H01948",2664.91
"H01949",2604.35
"H01950",2565.84
"H01951",2498.83
"H01952",2498.36
"H01953",2390.4
"H01954",2261.71
"H01955",2221.87
"H01956",2139.9
"H01957",2098.31
"H01958",2000
"H01959",1908.4
"H01960",1815.31
"H01961",1708.23
"H01962",1642.47
"H01963",1639.82
"H01964",1600
"H01965",1588.1
"H01966",1556.03
"H01967",1505.2
"H01968",1500.48
"H01969",1470.11
"H01970",1460.86
"H01971",1428
"H01972",1412
"H01973",1400.07
"H01974",1397.89
"H01975",1388.57
"H01976",1363.23
"H01977",1347.91
"H01978",1308.68
"H01979",1292.04
"H01980",1273.97
"H01981",1232.48
"H01982",1200
"H01983",1132.41
"H01984",1124.34
"H01985",1113.37
"H01986",1100
"H01987",1078.04
"H01988",1007.6
"H01989",998.93
"H01990",998.69
"H01991",993.19
"H01992",986.4
"H01993",975.5
"H01994",972.95
"H01995",964.22
"H01996",948.7
"H01997",931.33
"H01998",905.03
"H01999",898.55
"H02000",843.56
"H02001",841.13
"H02002",834.82
"H02003",822.1
"H02004",812.89
"H02005",798.43
"H02006",784.78
"H02007",762.22
"H02008",761.22
"H02009",754.56
"H02010",733.64
"H02011",724.08
"H02012",710.2
"H02013",707.61
"H02014",707.4
"H02015",685.71
"H02016",683.06
"H02017",675.47
"H02018",674.7
"H02019",667
"H02020",646.16
"H02021",622.53
"H02022",620.8
"H02023",611.58
"H02024",610.66
"H02025",608.88
"H02026",604.95
"H02027",600.59
"H02028",587.51
"H02029",580.48
"H02030",569.8
"H02031",532.14
"H02032",498.42
"H02033",494.21
"H02034",490.25
"H02035",489.73
"H02036",479.66
"H02037",472.72
"H02038",465.5
"H02039",460.22
"H02040",457.31
"H02041",446.57
"H02042",426.3
"H02043",425.76
"H02044",396.76
"H02045",376.06
"H02046",369.59
"H02047",354.86
"H02048",329.91
"H02049",316.5
"H02050",295.69
"H02051",280.45
"H02052",272.83
"H02053",272.01
"H02054",268.6
"H02055",258.5
"H02056",254.2
"H02057",252
"H02058",246.96
"H02059",237.39
"H02060",191.09
"H02061",172.95
"H02062",170.46
"H02063",149.63
"H02064",111.56
"H02065",64
"H02066",53.98
"H02067",50
"H02068",60000
"H02069",17240.81
"H02070",15210.32
"H02071",11392.59
"H02072",9872.23
"H02073",9756.78
"H02074",8866.14
"H02075",7523.88
"H02076",5638.67
"H02077",4643.8
"H02078",4619
"H02079",4592.5
"H02080",4586
"H02081",4161.48
"H02082",4016.56
"H02083",4000
"H02084",3864.06
"H02085",3741.14
"H02086",3725.26
"H02087",3523.9
"H02088",3500
"H02089",3437.17
"H02090",3401.33
"H02091",3123.61
"H02092",3064.5
"H02093",3007.96
"H02094",2963.39
"H02095",2848.08
"H02096",2773.08
"H02097",2533
"H02098",2431.79
"H02099",2378.85
"H02100",2235.69
"H02101",2202.5
"H02102",2192.98
"H02103",2182.08
"H02104",2143.83
"H02105",2066.24
"H02106",2061.95
"H02107",2025
"H02108",2003.4
"H02109",1888.25
"H02110",1863.54
"H02111",1856.45
"H02112",1821.66
"H02113",1752.16
"H02114",1731
"H02115",1709.08
"H02116",1686.2
"H02117",1650
"H02118",1648.41
"H02119",1613.75
"H02120",1601.01
"H02121",1599.07
"H02122",1592.26
"H02123",1552.37
"H02124",1548
"H02125",1543.88
"H02126",1502.55
"H02127",1441.86
"H02128",1430.52
"H02129",1428.87
"H02130",1424.07
"H02131",1381.16
"H02132",1376.59
"H02133",1346.31
"H02134",1342.04
"H02135",1336.26
"H02136",1251.4
"H02137",1248.01
"H02138",1194.82
"H02139",1160.5
"H02140",1136.97
"H02141",1117.99
"H02142",1117.82
"H02143",1112.54
"H02144",1085
"H02145",1079.39
"H02146",1065.7
"H02147",1058.27
"H02148",1047.49
"H02149",1036.1
"H02150",990.86
"H02151",958.45
"H02152",950.61
"H02153",947.71
"H02154",945.56
"H02155",945.39
"H02156",943.31
"H02157",935.17
"H02158",902.1
"H02159",900
"H02160",883.75
"H02161",880.82
"H02162",880.2
"H02163",875.28
"H02164",871.16
"H02165",863.43
"H02166",858.42
"H02167",851.49
"H02168",835.05
"H02169",800
"H02170",787.04
"H02171",783.53
"H02172",742.15
"H02173",731.35
"H02174",728.53
"H02175",713.55
"H02176",701.89
"H02177",698.49
"H02178",695.53
"H02179",690.92
"H02180",689.11
"H02181",685
"H02182",675
"H02183",673.51
"H02184",672.31
"H02185",663.91
"H02186",656.93
"H02187",654.75
"H02188",651.09
"H02189",645.8
"H02190",642.82
"H02191",633.79
"H02192",626.38
"H02193",624.26
"H02194",623.89
"H02195",617.4
"H02196",609.74
"H02197",606.36
"H02198",596.99
"H02199",585.36
"H02200",573.4
"H02201",559
"H02202",552.16
"H02203",548.6
"H02204",535
"H02205",514.71
"H02206",498.42
"H02207",498.11
"H02208",488.23
"H02209",488.16
"H02210",484.1
"H02211",460.33
"H02212",458
"H02213",443.95
"H02214",440.86
"H02215",439.54
"H02216",431.98
"H02217",400
"H02218",400
"H02219",399.75
"H02220",394.49
"H02221",390
"H02222",376.14
"H02223",332.52
"H02224",321.6
"H02225",299.25
"H02226",297.41
"H02227",288.96
"H02228",280.9
"H02229",264.7
"H02230",253.59
"H02231",249.87
"H02232",245.93
"H02233",237.37
"H02234",234.2
"H02235",223.23
"H02236",209.83
"H02237",172.06
"H02238",164.7
"H02239",161.2
"H02240",138.86
"H02241",128
"H02242",104.95
"H02243",101.25
"H02244",100
"H02245",85.5
"H02246",75
"H02247",68.74
"H02248",30
"H02249",24624.44
"H02250",14104
"H02251",9562.71
"H02252",9234.78
"H02253",8381.6
"H02254",8123.33
"H02255",7389.16
"H02256",6410.64
"H02257",6386.3
"H02258",6090.75
"H02259",5905.64
"H02260",5382.57
"H02261",5311.27
"H02262",5158.65
"H02263",5035.93
"H02264",5004.55
"H02265",4689.9
"H02266",4625.47
"H02267",4523.97
"H02268",4518.7
"H02269",4387.4
"H02270",4243.57
"H02271",3637.01
"H02272",3594.7
"H02273",3354.04
"H02274",3254.87
"H02275",3250
"H02276",2935.61
"H02277",2882.67
"H02278",2786.41
"H02279",2524.92
"H02280",2370.82
"H02281",2364.45
"H02282",2364.24
"H02283",2354.21
"H02284",2350
"H02285",2343
"H02286",2226.66
"H02287",2144
"H02288",2119.74
"H02289",2044.59
"H02290",2017.19
"H02291",1963.85
"H02292",1846.01
"H02293",1843.84
"H02294",1843.41
"H02295",1815.95
"H02296",1815.83
"H02297",1784.47
"H02298",1707.92
"H02299",1695.67
"H02300",1694.59
"H02301",1692.96
"H02302",1644.78
"H02303",1589.7
"H02304",1589.45
"H02305",1560.42
"H02306",1501.05
"H02307",1402.18
"H02308",1379.16
"H02309",1369.74
"H02310",1301.51
"H02311",1246.51
"H02312",1237.83
"H02313",1172.82
"H02314",1165.76
"H02315",1152.17
"H02316",1150.87
"H02317",1144.04
"H02318",1060.6
"H02319",1054.03
"H02320",1050
"H02321",1048.69
"H02322",1046.32
"H02323",1000
"H02324",1000
"H02325",983.48
"H02326",968.31
"H02327",961.54
"H02328",946.38
"H02329",924.7
"H02330",918.99
"H02331",914.26
"H02332",897.96
"H02333",874.67
"H02334",866.26
"H02335",847.65
"H02336",846.39
"H02337",834.83
"H02338",825.66
"H02339",817.5
"H02340",797.92
"H02341",797.06
"H02342",774.88
"H02343",764.19
"H02344",749.38
"H02345",748.45
"H02346",692.37
"H02347",682.85
"H02348",677.66
"H02349",676
"H02350",670.27
"H02351",658.28
"H02352",647.18
"H02353",604.95
"H02354",585.34
"H02355",568.02
"H02356",565.02
"H02357",559.98
"H02358",550
"H02359",539.26
"H02360",529.28
"H02361",518.95
"H02362",513.66
"H02363",499.18
"H02364",491.87
"H02365",471.03
"H02366",464.51
"H02367",456.87
"H02368",440.87
"H02369",437.38
"H02370",436.87
"H02371",401.05
"H02372",398.2
"H02373",388.03
"H02374",386.96
"H02375",386.12
"H02376",377.54
"H02377",374.71
"H02378",357.94
"H02379",356.9
"H02380",356.06
"H02381",348.75
"H02382",344.66
"H02383",340.34
"H02384",326.4
"H02385",321.73
"H02386",320.56
"H02387",320.27
"H02388",316
"H02389",310.17
"H02390",309.77
"H02391",303
"H02392",300
"H02393",298.52
"H02394",262.08
"H02395",200
"H02396",198.98
"H02397",174.71
"H02398",148.39
"H02399",135
"H02400",128.18
"H02401",127.09
"H02402",70.98
"H02403",49.95
"H02404",47.52
"H02405",23231.54
"H02406",11458.07
"H02407",9112.54
"H02408",8969.76
"H02409",8300.31
"H02410",7827.74
"H02411",6594.66
"H02412",6261.92
"H02413",5861.5
"H02414",5624.94
"H02415",5381.14
"H02416",4808.51
"H02417",4532.02
"H02418",4495.48
"H02419",4263.99
"H02420",4229
"H02421",3887.76
"H02422",3864.39
"H02423",3697.38
"H02424",3656.77
"H02425",3404.82
"H02426",3348.34
"H02427",3140.79
"H02428",3008.21
"H02429",2945.63
"H02430",2928.92
"H02431",2688.04
"H02432",2547.5
"H02433",2545.12
"H02434",2496.15
"H02435",2407.52
"H02436",2300.04
"H02437",2276.5
"H02438",2200.63
"H02439",2194.65
"H02440",2180.31
"H02441",2170.84
"H02442",2129.17
"H02443",2106.39
"H02444",2102.34
"H02445",2096.64
"H02446",2064.12
"H02447",2062.48
"H02448",2017.28
"H02449",1977.88
"H02450",1918.8
"H02451",1845.23
"H02452",1761.6
"H02453",1761.25
"H02454",1730.61
"H02455",1695.14
"H02456",1678.17
"H02457",1651.86
"H02458",1646.25
"H02459",1638.31
"H02460",1609.5
"H02461",1482.45
"H02462",1480.93
"H02463",1475.42
"H02464",1455.9
"H02465",1454.96
"H02466",1441.56
"H02467",1432.32
"H02468",1404.71
"H02469",1355.5
"H02470",1348.93
"H02471",1288
"H02472",1253.03
"H02473",1238.2
"H02474",1216.8
"H02475",1211.25
"H02476",1189.96
"H02477",1164.3
"H02478",1113.94
"H02479",1112.19
"H02480",1090.41
"H02481",1075.68
"H02482",1040.42
"H02483",979.54
"H02484",940.28
"H02485",925.47
"H02486",925
"H02487",905.7
"H02488",886.45
"H02489",882.54
"H02490",875.6
"H02491",862.02
"H02492",852.22
"H02493",850
"H02494",850
"H02495",817.63
"H02496",808.2
"H02497",802.74
"H02498",740.68
"H02499",735.66
"H02500",700
"H02501",700
"H02502",691.53
"H02503",666.6
"H02504",665.5
"H02505",665.46
"H02506",648.98
"H02507",645.37
"H02508",639.49
"H02509",637.65
"H02510",613.75
"H02511",604.33
"H02512",600.11
"H02513",589.01
"H02514",578.69
"H02515",572.44
"H02516",571.84
"H02517",538.34
"H02518",536.96
"H02519",524
"H02520",515.3
"H02521",498.48
"H02522",486.28
"H02523",481.38
"H02524",479.01
"H02525",477.16
"H02526",475.16
"H02527",470
"H02528",463.58
"H02529",455.7
"H02530",443.19
"H02531",442.33
"H02532",442.09
"H02533",420.68
"H02534",417.18
"H02535",414.95
"H02536",412.47
"H02537",399.13
"H02538",385.2
"H02539",383.73
"H02540",369.02
"H02541",367
"H02542",351.35
"H02543",348.75
"H02544",346.79
"H02545",323
"H02546",322.5
"H02547",318.04
"H02548",313.48
"H02549",296.48
"H02550",292.39
"H02551",283.61
"H02552",253.12
"H02553",251.09
"H02554",244.23
"H02555",238.23
"H02556",221.75
"H02557",182.48
"H02558",181.35
"H02559",156.05
"H02560",151.92
"H02561",132
"H02562",100
"H02563",37.68
"H02564",32
"H02565",14753.58
"H02566",12420.05
"H02567",11545.27
"H02568",11288.76
"H02569",10175.27
"H02570",8544.82
"H02571",7910.74
"H02572",7362.9
"H02573",7113.71
"H02574",6691.83
"H02575",6307.3
"H02576",6277.84
"H02577",6203.72
"H02578",6149.33
"H02579",5305.82
"H02580",4939.5
"H02581",4786.51
"H02582",4730.23
"H02583",4669.13
"H02584",4655.5
"H02585",4330.47
"H02586",4325.98
"H02587",4305.96
"H02588",4175.95
"H02589",4093.72
"H02590",3945.47
"H02591",3418.02
"H02592",3365.38
"H02593",3229.29
"H02594",3200.29
"H02595",3167.49
"H02596",3077.45
"H02597",2893.39
"H02598",2868.32
"H02599",2865.53
"H02600",2797.4
"H02601",2775.76
"H02602",2653.4
"H02603",2580.07
"H02604",2572.22
"H02605",2551.38
"H02606",2434.38
"H02607",2194.21
"H02608",2149.87
"H02609",2135.86
"H02610",1939.67
"H02611",1911.4
"H02612",1835
"H02613",1712.27
"H02614",1712.13
"H02615",1711.12
"H02616",1680.86
"H02617",1606.17
"H02618",1516.88
"H02619",1488.46
"H02620",1484.85
"H02621",1455.09
"H02622",1449.03
"H02623",1425.58
"H02624",1396.61
"H02625",1377.31
"H02626",1360.8
"H02627",1346.19
"H02628",1320.95
"H02629",1275.19
"H02630",1247.2
"H02631",1179.22
"H02632",1165.93
"H02633",1108.42
"H02634",1097.72
"H02635",1092.47
"H02636",1086.77
"H02637",1035.16
"H02638",1028.73
"H02639",1001.76
"H02640",1000
"H02641",1000
"H02642",994.45
"H02643",993.15
"H02644",989.59
"H02645",987
"H02646",977.46
"H02647",974.34
"H02648",970.83
"H02649",970.57
"H02650",928.69
"H02651",927.2
"H02652",925.05
"H02653",901.06
"H02654",891.09
"H02655",882.77
"H02656",878.48
"H02657",875.87
"H02658",869.62
"H02659",829.65
"H02660",825.34
"H02661",822.31
"H02662",818.44
"H02663",811.97
"H02664",809.59
"H02665",805.95
"H02666",787.5
"H02667",784.36
"H02668",740.61
"H02669",732.37
"H02670",726.58
"H02671",724.4
"H02672",709.73
"H02673",679.51
"H02674",670.77
"H02675",641.4
"H02676",639.35
"H02677",638.99
"H02678",631.16
"H02679",626.3
"H02680",599.47
"H02681",577.45
"H02682",575.48
"H02683",570.37
"H02684",546.32
"H02685",540.51
"H02686",536.11
"H02687",533.33
"H02688",523.61
"H02689",515.28
"H02690",513.92
"H02691",505.79
"H02692",487.52
"H02693",473.93
"H02694",473.91
"H02695",470.76
"H02696",464.59
"H02697",463.87
"H02698",460.36
"H02699",458.78
"H02700",455.71
"H02701",443.52
"H02702",429.27
"H02703",426.67
"H02704",417.22
"H02705",415.68
"H02706",379.86
"H02707",373.08
"H02708",370.78
"H02709",348.53
"H02710",339.86
"H02711",339.24
"H02712",321.78
"H02713",319.56
"H02714",318.05
"H02715",312.52
"H02716",312.12
"H02717",307.89
"H02718",303.24
"H02719",301.73
"H02720",291.92
"H02721",288.4
"H02722",281.04
"H02723",278.45
"H02724",266.5
"H02725",257.01
"H02726",240.86
"H02727",208.09
"H02728",201.72
"H02729",189.9
"H02730",165.72
"H02731",150
"H02732",134.4
"H02733",129.18
"H02734",121.78
"H02735",106
"H02736",66.78
"H02737",49.89
"H02738",43
"H02739",26146.16
"H02740",13241.45
"H02741",7487.94
"H02742",7296.2
"H02743",6356.61
"H02744",6017.22
"H02745",5476.56
"H02746",5408.38
"H02747",5232.51
"H02748",5217.91
"H02749",4980.09
"H02750",4929.65
"H02751",4398.4
"H02752",4381.34
"H02753",4023.27
"H02754",3966.43
"H02755",3895.54
"H02756",3850
"H02757",3817.04
"H02758",3609.66
"H02759",3371.68
"H02760",3331.45
"H02761",3131.11
"H02762",3045.66
"H02763",2815.07
"H02764",2641.49
"H02765",2625.58
"H02766",2615.88
"H02767",2532.6
"H02768",2428.1
"H02769",2373.49
"H02770",2348.81
"H02771",2344.69
"H02772",2284.45
"H02773",2241.67
"H02774",2179.29
"H02775",2102.41
"H02776",2075
"H02777",2063.7
"H02778",2063
"H02779",1948.32
"H02780",1914.81
"H02781",1890.01
"H02782",1884.83
"H02783",1879
"H02784",1858.45
"H02785",1855.85
"H02786",1848.28
"H02787",1812.47
"H02788",1729.67
"H02789",1727.9
"H02790",1711.62
"H02791",1667.74
"H02792",1577.78
"H02793",1528.3
"H02794",1511.97
"H02795",1511
"H02796",1450
"H02797",1431.81
"H02798",1428.99
"H02799",1410.65
"H02800",1344.17
"H02801",1343.68
"H02802",1276.89
"H02803",1268.78
"H02804",1237
"H02805",1226.28
"H02806",1194.34
"H02807",1175.01
"H02808",1163.93
"H02809",1122.12
"H02810",1109.76
"H02811",1107.11
"H02812",1092.08
"H02813",1090.75
"H02814",1083.82
"H02815",1072.06
"H02816",1067.57
"H02817",1037.37
"H02818",1018.52
"H02819",1012.19
"H02820",1001.7
"H02821",1000
"H02822",973.43
"H02823",965.21
"H02824",937.47
"H02825",928.2
"H02826",917.49
"H02827",908.35
"H02828",900
"H02829",900
"H02830",863.83
"H02831",861.89
"H02832",853.23
"H02833",839.33
"H02834",809.34
"H02835",782.9
"H02836",768.05
"H02837",764.27
"H02838",748.71
"H02839",742.54
"H02840",722.83
"H02841",708.56
"H02842",698.65
"H02843",698
"H02844",678.98
"H02845",672
"H02846",671.69
"H02847",666.48
"H02848",653.66
"H02849",650.45
"H02850",648.84
"H02851",640.23
"H02852",632.82
"H02853",630.11
"H02854",617.9
"H02855",612.93
"H02856",608.01
"H02857",605.06
"H02858",594.8
"H02859",593.21
"H02860",591.04
"H02861",585.74
"H02862",585.34
"H02863",566.74
"H02864",541.55
"H02865",525.24
"H02866",521.1
"H02867",495.66
"H02868",492.31
"H02869",491.3
"H02870",470.29
"H02871",468.98
"H02872",468.2
"H02873",465.5
"H02874",465.04
"H02875",464.55
"H02876",441.17
"H02877",433.5
"H02878",433.07
"H02879",418.79
"H02880",414.04
"H02881",409.1
"H02882",409.06
"H02883",405.85
"H02884",395.5
"H02885",391.97
"H02886",390.02
"H02887",367.6
"H02888",351.69
"H02889",350.09
"H02890",331.75
"H02891",326.64
"H02892",324.03
"H02893",300
"H02894",291.28
"H02895",287.99
"H02896",278.56
"H02897",276.28
"H02898",274.37
"H02899",274.28
"H02900",272.65
"H02901",265.25
"H02902",250
"H02903",240.16
"H02904",236.53
"H02905",232.41
"H02906",219.15
"H02907",202.43
"H02908",190.76
"H02909",178.8
"H02910",171.3
"H02911",168
"H02912",150
"H02913",144.99
"H02914",135.75
"H02915",122.43
"H02916",118.5
"H02917",100.7
"H02918",99.74
"H02919",94.9
"H02920",72.5
"H02921",44.97
"H02922",19287.76
"H02923",16100
"H02924",13572.32
"H02925",12834.19
"H02926",11540.5
"H02927",10077
"H02928",9679.54
"H02929",8569.3
"H02930",7680.09
"H02931",6124.34
"H02932",5884.78
"H02933",5511.7
"H02934",5335.35
"H02935",5136.18
"H02936",4727.3
"H02937",4324.4
"H02938",4110.08
"H02939",3936.76
"H02940",3900
"H02941",3709.11
"H02942",3595.7
"H02943",3486.96
"H02944",3412.24
"H02945",3385.35
"H02946",3265.97
"H02947",3255.88
"H02948",3084.13
"H02949",3000
"H02950",2985.29
"H02951",2803.86
"H02952",2771.5
"H02953",2604.13
"H02954",2588.84
"H02955",2502.72
"H02956",2492.72
"H02957",2479.95
"H02958",2418.4
"H02959",2394.13
"H02960",2368.69
"H02961",2357.98
"H02962",2326
"H02963",2284.58
"H02964",2256.55
"H02965",2223.78
"H02966",2190.8
"H02967",2167.45
"H02968",2146.75
"H02969",2118.5
"H02970",2097.56
"H02971",2094.39
"H02972",2012.89
"H02973",2007.64
"H02974",1996
"H02975",1948.84
"H02976",1945.03
"H02977",1896.16
"H02978",1869.49
"H02979",1828.9
"H02980",1791.09
"H02981",1788.68
"H02982",1783.64
"H02983",1749.57
"H02984",1722.52
"H02985",1711.65
"H02986",1682.11
"H02987",1644.8
"H02988",1630.5
"H02989",1627.01
"H02990",1600.18
"H02991",1577.35
"H02992",1548.64
"H02993",1506.54
"H02994",1495.59
"H02995",1495.05
"H02996",1480.49
"H02997",1445.69
"H02998",1391.25
"H02999",1382.5
"H03000",1332.57
