"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H01704","STATE 02","F6 ","M",72,582.62
"H01705","STATE 07","F11","F",72,551.4
"H01706","STATE 15","C6 ","M",,544.11
"H01707","STATE 15","C6 ","F",72,540.38
"H01708","STATE 04","C11","F",72,527.11
"H01709","STATE 15","C6 ","F",72,524.69
"H01710","STATE 15","C6 ","F",72,500
"H01711","STATE 07","C6 ","F",72,477.8
"H01712","STATE 02","C6 ","M",,471.35
"H01713","STATE 15","C6 ","F",72,470.84
"H01714","STATE 10","C6 ","F",72,439.45
"H01715","STATE 04","C11","F",72,419.92
"H01716","STATE 12","C11","M",72,417.97
"H01717","STATE 14","C6 ",,72,404
"H01718","STATE 17","C6 ","F",,394.48
"H01719","STATE 02","C72","M",72,393.5
"H01720","STATE 07","C11","F",72,386.35
"H01721","STATE 15","C6 ","F",72,379.28
"H01722","STATE 01","C6 ","M",72,378.67
"H01723","STATE 02","C6 ","M",,368.45
"H01724","STATE 15","C6 ","M",,362.46
"H01725","STATE 15","C1 ","M",72,360.83
"H01726","STATE 04","C6 ","F",,332.72
"H01727","STATE 02","C11","F",72,331.57
"H01728","STATE 07","F6 ","M",,312.7
"H01729","STATE 12","C6 ","M",,309.67
"H01730","STATE 17","C71","F",72,292.44
"H01731","STATE 10","C11","M",72,267.68
"H01732","STATE 17","C11","M",,265.23
"H01733","STATE 07","C11","F",72,264.91
"H01734","STATE 15","C7B","M",72,261.64
"H01735","STATE 02","C1B","M",72,260.56
"H01736","STATE 15","C11","M",72,248.69
"H01737","STATE 15","F11","M",72,243.38
"H01738","STATE 15","C6 ","M",72,235.51
"H01739","STATE 12","C1 ","M",72,225.16
"H01740","STATE 07","F11","F",72,224.66
"H01741","STATE 02","C11","M",72,221.7
"H01742","STATE 10","C1 ","F",72,221.04
"H01743","STATE 07","C6 ","M",72,217.44
"H01744","STATE 13","C11",,72,217.21
"H01745","STATE 03","C11","F",72,210
"H01746","STATE 12","C11","M",72,195
"H01747","STATE 04","C6 ","M",72,189.57
"H01748","STATE 07","C6 ","M",72,187.73
"H01749","STATE 17","C6 ","F",,171.35
"H01750","STATE 02","C1 ","M",,162.59
"H01751","STATE 15","C1 ","M",72,150.95
"H01752","STATE 04","C6 ","F",72,137.1
"H01753","STATE 15","C1 ","M",72,123.92
"H01754","STATE 15","C1 ","M",72,120.76
"H01755","STATE 10","C6 ","M",,111.3
"H01756","STATE 15","C6 ","M",72,103.75
"H01757","STATE 15","C6 ","M",72,98.22
"H01758","STATE 15","C6 ","F",72,96.45
"H01759","STATE 04","F6 ","M",72,75
"H01760","STATE 07","C6 ","F",72,51.37
"H01761","STATE 02","F1 ","M",,50
"H01762","STATE 04","C11","F",72,50
"H01763","STATE 04","C11","F",72,22.55
"H01764","STATE 04","C6 ","F",72,20.93
"H01765","STATE 15","C6 ","M",72,15
"H01766","STATE 07","C6 ","F",,13303.17
"H01767","STATE 06","C1 ","F",71,11511.72
"H01768","STATE 02","C11","F",71,8034.83
"H01769","STATE 03","C6 ","M",,7751.01
"H01770","STATE 15","C71","M",71,7135.59
"H01771","STATE 15","C11","M",71,6768.71
"H01772","STATE 12","C6 ","F",71,
"H01773","STATE 15","C11","M",71,6463.21
"H01774","STATE 06","C6 ","M",71,6267.53
"H01775","STATE 02","C6 ","F",71,6210.66
"H01776","STATE 17","C6 ","F",,6090.02
"H01777","STATE 06","C1 ","F",71,5812.6
"H01778","STATE 15","C1 ","F",71,5344.67
"H01779","STATE 15","F11","M",71,
"H01780","STATE 04","C11","M",71,4924.74
"H01781","STATE 06","C6 ","F",71,
"H01782","STATE 06","C7 ","F",71,
"H01783","STATE 01","F11","M",71,3872.81
"H01784","STATE 15","C6 ","M",,3806.45
"H01785","STATE 15","C6 ","M",71,3510.27
"H01786","STATE 04","C6 ","M",71,3387.75
"H01787","STATE 15","C11","F",71,3103.56
"H01788","STATE 15","F11","M",71,2978.34
"H01789","STATE 02","C6 ","F",71,2968.49
"H01790","STATE 07","C11","F",71,2960.83
"H01791","STATE 03","C6 ","F",,2909.74
"H01792","STATE 15","C6 ","F",71,2718.87
"H01793","STATE 04","F6 ","M",71,2570.92
"H01794","STATE 17","C11","M",71,2489.27
"H01795","STATE 04","C11","M",71,2436.6
"H01796","STATE 07","F6 ","F",71,2390
"H01797","STATE 15","C6 ","M",71,2299.2
"H01798","STATE 06","C1 ","M",71,2274.7
"H01799","STATE 15","C11","M",71,2194.43
"H01800","STATE 13","F11","M",71,2152.38
"H01801","STATE 13","C1B","M",71,2097.21
"H01802","STATE 15","C7 ","F",71,1945.2
"H01803","STATE 03","C6 ","M",,1881.4
"H01804","STATE 15","C1A","M",71,1837.28
"H01805","STATE 15","C1 ","M",71,1824.53
"H01806","STATE 04","C1B","M",71,1812.15
"H01807","STATE 02","C6 ","M",71,1765.57
"H01808","STATE 04","C71","M",71,1727.33
"H01809","STATE 10","C6 ","M",71,1700.22
"H01810","STATE 15","C6 ","M",71,1676.39
"H01811","STATE 02","C6 ","M",71,1676
"H01812","STATE 06","C1 ","M",71,1655.87
"H01813","STATE 17","C11",,71,1643.5
"H01814","STATE 14","F6 ",,71,1627
"H01815","STATE 02","C7 ","F",71,1618.47
"H01816","STATE 12","C6 ","M",,1578.3
"H01817","STATE 02","C6 ","M",,1505.43
"H01818","STATE 15","C11","F",71,1484.96
"H01819","STATE 15","C11","M",71,1424.51
"H01820","STATE 02","C6 ","M",71,1379.86
"H01821","STATE 02","C11","M",71,1364.79
"H01822","STATE 15","C6 ","F",,1362.3
"H01823","STATE 02","C6 ","F",,1353.43
"H01824","STATE 02","F6 ","M",,1331.73
"H01825","STATE 13","C6 ","M",71,1308.64
"H01826","STATE 15","C6 ","F",71,1288.68
"H01827","STATE 02","C11","M",71,1265.9
"H01828","STATE 02","C6 ","F",71,1238.87
"H01829","STATE 15","C1 ","M",71,1235.07
"H01830","STATE 15","C1 ","M",71,1217.1
"H01831","STATE 15","C6 ","M",71,1215.4
"H01832","STATE 01","C11","F",71,1206.44
"H01833","STATE 15","C6 ","M",,1172.96
"H01834","STATE 02","C11","F",71,1153.12
"H01835","STATE 17","C6 ","F",,1140.02
"H01836","STATE 03","C11","M",71,1114.88
"H01837","STATE 06","C71","M",71,1097.59
"H01838","STATE 06","C11","F",71,1097.41
"H01839","STATE 04","C6 ","M",71,1069.46
"H01840","STATE 02","C1 ","M",71,1031.69
"H01841","STATE 02","C11","M",71,1016
"H01842","STATE 15","C11","F",71,1015
"H01843","STATE 04","C7 ","M",71,1002.85
"H01844","STATE 02","F6 ","M",71,989.53
"H01845","STATE 10","C6 ","M",71,923.79
"H01846","STATE 15","C6 ","F",,913.17
"H01847","STATE 02","C6 ","F",71,910.01
"H01848","STATE 03","C11","M",71,900
"H01849","STATE 14","C11","F",71,869.93
"H01850","STATE 15","C11","F",71,861.79
"H01851","STATE 17","C6 ","M",71,857.4
"H01852","STATE 02","C11","F",71,856.81
"H01853","STATE 12","C6 ","M",,841.73
"H01854","STATE 15","C11","M",71,812.98
"H01855","STATE 01","C1 ","F",71,797.42
"H01856","STATE 06","C1 ","M",71,787.22
"H01857","STATE 07","C6 ","F",,784.39
"H01858","STATE 15","C6 ","F",,769.13
"H01859","STATE 02","C6 ","M",71,766.9
"H01860","STATE 15","C1B","M",71,763.66
"H01861","STATE 02","C11","F",71,759.15
"H01862","STATE 15","C1B","F",71,757.19
"H01863","STATE 04","C11","M",71,756.38
"H01864","STATE 15","C6 ","M",71,750
"H01865","STATE 15","C11","F",71,738.51
"H01866","STATE 13","C6 ","F",71,731.03
"H01867","STATE 14","C71","M",71,730.59
"H01868","STATE 04","C1 ","F",71,700
"H01869","STATE 15","C6 ","F",71,696.83
"H01870","STATE 06","C6 ","F",71,693.96
"H01871","STATE 15","C11","F",71,681.14
"H01872","STATE 15","C7 ","F",71,680.01
"H01873","STATE 15","F11","F",71,679.2
"H01874","STATE 15","C6 ","M",71,678.49
"H01875","STATE 07","C6 ","M",71,673.93
"H01876","STATE 10","C11","F",71,636.7
"H01877","STATE 10","C1B","M",71,629.68
"H01878","STATE 15","C6 ","F",,623.89
"H01879","STATE 06","C6 ",,71,597.06
"H01880","STATE 04","C7 ","M",71,593.14
"H01881","STATE 12","C6 ","M",71,579.38
"H01882","STATE 02","C6 ","M",71,579.18
"H01883","STATE 02","C6 ","F",,576.57
"H01884","STATE 15","C6 ","M",,564.6
"H01885","STATE 13","C1 ","F",71,562.05
"H01886","STATE 15","C6 ",,71,555.61
"H01887","STATE 15","C1 ","M",71,544.14
"H01888","STATE 15","C6 ","M",,543.54
"H01889","STATE 15","C7 ","M",71,541.67
"H01890","STATE 13","C11","F",71,527.34
"H01891","STATE 17","C6 ","F",71,525.23
"H01892","STATE 17","C1B","F",71,525.14
"H01893","STATE 15","C1A","M",71,516.87
"H01894","STATE 15","C6 ","M",,500
"H01895","STATE 02","C6 ",,71,499.91
"H01896","STATE 04","C6 ","F",71,497.22
"H01897","STATE 07","C6 ",,71,465.04
"H01898","STATE 06","C6 ","M",71,451.31
"H01899","STATE 15","C6 ","F",71,445.92
"H01900","STATE 02","F11","M",71,439.08
"H01901","STATE 04","C7 ","F",71,394
"H01902","STATE 17","C11","M",71,364.63
"H01903","STATE 01","C1 ","F",71,342.24
"H01904","STATE 15","C6 ","F",,335.58
"H01905","STATE 04","C6 ","F",71,332.06
"H01906","STATE 02","C6 ","F",,331.96
"H01907","STATE 15","C6 ","M",71,315.53
"H01908","STATE 15","C11","F",71,315
"H01909","STATE 17","F6 ","F",,309.53
"H01910","STATE 06","C6 ","M",71,308.96
"H01911","STATE 06","C6 ","F",71,298.19
"H01912","STATE 15","C6 ","M",,296.64
"H01913","STATE 04","F6 ","M",71,296.61
"H01914","STATE 15","C11","M",71,280.36
"H01915","STATE 15","C6 ","F",,276.41
"H01916","STATE 02","C1 ","M",71,271.36
"H01917","STATE 15","C11","F",71,221.76
"H01918","STATE 15","C11","M",,220.76
"H01919","STATE 15","C6 ","M",71,216.67
"H01920","STATE 02","C6 ","F",,151.75
"H01921","STATE 15","F6 ","M",71,111.99
"H01922","STATE 06","C11","M",71,87
"H01923","STATE 02","C11","F",71,10
"H01924","STATE 10","C7B","F",70,21404.96
"H01925","STATE 06","C7B","F",70,
"H01926","STATE 15","C71","M",70,17381.23
"H01927","STATE 15","C1 ","F",70,14958.11
"H01928","STATE 06","C1 ","F",70,13835.56
"H01929","STATE 03","C71","M",70,10527.4
"H01930","STATE 15","C7 ","F",70,8899.39
"H01931","STATE 02","F71","M",70,8785.14
"H01932","STATE 07","C7 ","M",70,7851.75
"H01933","STATE 06","C1 ","M",70,7751.55
"H01934","STATE 15","C71","F",70,
"H01935","STATE 17","C71","F",70,6686.93
"H01936","STATE 15","C7A","M",70,5711.53
"H01937","STATE 02","C7 ","M",70,5705.38
"H01938","STATE 15","C72","F",70,4784.73
"H01939","STATE 12","C11","F",70,4140.34
"H01940","STATE 07","C7 ","F",70,3804.44
"H01941","STATE 06","C7B","M",70,3760.07
"H01942","STATE 04","C7 ","M",70,3649.93
"H01943","STATE 02","C7B","M",70,3100.86
"H01944","STATE 15","C7 ","F",70,3000
"H01945","STATE 12","C1 ","M",70,2839.35
"H01946","STATE 15","C7 ","M",70,2819.38
"H01947","STATE 15","C71","F",70,2757.83
"H01948","STATE 02","C1B","M",70,2664.91
"H01949","STATE 15","C1 ","M",70,2604.35
"H01950","STATE 15","C7 ","F",70,2565.84
"H01951","STATE 13","C7 ",,70,2498.83
"H01952","STATE 02","F7 ","M",,2498.36
"H01953","STATE 04","C71","M",70,2390.4
"H01954","STATE 15","C7 ","F",70,2261.71
"H01955","STATE 13","C1 ","M",70,2221.87
"H01956","STATE 15","C7 ","M",70,2139.9
"H01957","STATE 02","C11","F",70,2098.31
"H01958","STATE 15","C71","F",70,2000
"H01959","STATE 17","C7 ","F",70,1908.4
"H01960","STATE 03","C11","M",70,1815.31
"H01961","STATE 12","C72","M",70,1708.23
"H01962","STATE 03","C1 ","M",70,1642.47
"H01963","STATE 17","C71","M",70,1639.82
"H01964","STATE 04","C71",,70,1600
"H01965","STATE 10","C71","M",70,1588.1
"H01966","STATE 02","F71","M",70,1556.03
"H01967","STATE 02","C1 ","M",70,1505.2
"H01968","STATE 06","C7 ","M",70,1500.48
"H01969","STATE 04","C71","M",70,1470.11
"H01970","STATE 15","F71","M",70,1460.86
"H01971","STATE 15","C71","M",70,1428
"H01972","STATE 02","F71","M",70,1412
"H01973","STATE 06","C71","M",70,1400.07
"H01974","STATE 01","C71","M",70,1397.89
"H01975","STATE 15","C1B","F",70,1388.57
"H01976","STATE 03","C71","M",70,1363.23
"H01977","STATE 01","C71","M",70,1347.91
"H01978","STATE 04","C72","F",70,1308.68
"H01979","STATE 07","C7 ","F",70,1292.04
"H01980","STATE 15","C1 ","F",70,1273.97
"H01981","STATE 03","C71","M",70,1232.48
"H01982","STATE 15","C7 ","F",70,1200
"H01983","STATE 01","C1 ","F",70,1132.41
"H01984","STATE 02","C7 ","F",70,1124.34
"H01985","STATE 04","C7 ","M",70,1113.37
"H01986","STATE 15","C71","M",70,1100
"H01987","STATE 15","F1 ","M",,1078.04
"H01988","STATE 12","C7 ","M",70,1007.6
"H01989","STATE 15","F7 ","M",70,998.93
"H01990","STATE 06","C1 ",,70,998.69
"H01991","STATE 02","C11","M",,993.19
"H01992","STATE 15","C11","F",,986.4
"H01993","STATE 02","C11","M",70,975.5
"H01994","STATE 04","C71","F",70,972.95
"H01995","STATE 02","C71","M",70,964.22
"H01996","STATE 14","F71","M",70,948.7
"H01997","STATE 03","C71","M",70,931.33
"H01998","STATE 07","C7 ","F",70,905.03
"H01999","STATE 03","C11","M",70,898.55
"H02000","STATE 13","C1B","M",70,843.56
"H02001","STATE 15","C1 ","F",70,841.13
"H02002","STATE 02","C1 ","F",70,834.82
"H02003","STATE 15","C1 ","M",70,822.1
"H02004","STATE 14","C7 ","F",70,812.89
"H02005","STATE 15","C11","M",70,798.43
"H02006","STATE 04","C7 ","F",70,784.78
"H02007","STATE 15","C1 ","F",70,762.22
"H02008","STATE 17","C71","M",70,761.22
"H02009","STATE 14","C1 ","F",70,754.56
"H02010","STATE 15","C71","F",,733.64
"H02011","STATE 07","C7 ","M",70,724.08
"H02012","STATE 06","C1 ","F",70,710.2
"H02013","STATE 15","F1 ","M",70,707.61
"H02014","STATE 01","F7 ","F",70,707.4
"H02015","STATE 10","C11","F",70,685.71
"H02016","STATE 06","C7 ","F",70,683.06
"H02017","STATE 04","C71","F",70,675.47
"H02018","STATE 02","C71","M",70,674.7
"H02019","STATE 02","C71","M",70,667
"H02020","STATE 02","C7 ","M",70,646.16
"H02021","STATE 15","C7 ","M",70,622.53
"H02022","STATE 17","C71","M",70,620.8
"H02023","STATE 06","C1 ",,70,611.58
"H02024","STATE 04","C71","M",70,610.66
"H02025","STATE 06","C1 ","M",70,608.88
"H02026","STATE 15","F11","M",70,604.95
"H02027","STATE 15","C2 ","M",70,600.59
"H02028","STATE 15","C71","M",70,587.51
"H02029","STATE 17","C71","F",70,580.48
"H02030","STATE 14","F71","M",70,569.8
"H02031","STATE 17","C7 ","M",70,532.14
"H02032","STATE 13","C7 ","M",70,498.42
"H02033","STATE 15","C11","M",70,494.21
"H02034","STATE 04","C71","F",70,490.25
"H02035","STATE 17","C7 ","F",70,489.73
"H02036","STATE 15","C7 ","F",70,479.66
"H02037","STATE 01","C11","M",70,472.72
"H02038","STATE 15","C7 ","M",70,465.5
"H02039","STATE 10","C71","F",70,460.22
"H02040","STATE 17","C7B","M",70,457.31
"H02041","STATE 04","C71","M",70,446.57
"H02042","STATE 15","C72","F",70,426.3
"H02043","STATE 06","C1 ","F",70,425.76
"H02044","STATE 03","C11","M",70,396.76
"H02045","STATE 15","C11","M",70,376.06
"H02046","STATE 12","C1B","M",70,369.59
"H02047","STATE 04","C7 ","M",70,354.86
"H02048","STATE 15","C1 ","F",70,329.91
"H02049","STATE 15","C1 ","M",70,316.5
"H02050","STATE 10","C7 ","F",70,295.69
"H02051","STATE 04","C71","M",70,280.45
"H02052","STATE 15","C71","F",70,272.83
"H02053","STATE 02","C1 ","F",70,272.01
"H02054","STATE 15","C11","M",70,268.6
"H02055","STATE 04","C7 ","M",70,258.5
"H02056","STATE 04","C71","M",70,254.2
"H02057","STATE 15","C7 ","M",70,252
"H02058","STATE 06","C71","M",70,246.96
"H02059","STATE 14","F11","F",70,237.39
"H02060","STATE 14","C7 ","F",70,191.09
"H02061","STATE 15","F71","M",70,172.95
"H02062","STATE 15","F71","M",70,170.46
"H02063","STATE 15","C71","M",70,149.63
"H02064","STATE 01","C7 ","F",70,111.56
"H02065","STATE 02","C1 ","M",70,64
"H02066","STATE 15","C1 ","M",70,53.98
"H02067","STATE 17","C7 ","M",70,50
"H02068","STATE 07","C7 ","F",69,60000
"H02069","STATE 02","C11","M",69,17240.81
"H02070","STATE 15","C71","M",69,15210.32
"H02071","STATE 10","C7 ","M",69,11392.59
"H02072","STATE 04","C7 ","F",69,9872.23
"H02073","STATE 06","C7 ","F",69,9756.78
"H02074","STATE 02","C7 ","M",69,8866.14
"H02075","STATE 01","C7 ","F",69,7523.88
"H02076","STATE 15","C7 ","F",69,5638.67
"H02077","STATE 06","C1 ","F",69,4643.8
"H02078","STATE 02","C7 ","M",69,4619
"H02079","STATE 13","C1 ","F",69,4592.5
"H02080","STATE 03","C71","M",69,4586
"H02081","STATE 15","C1 ","M",69,4161.48
"H02082","STATE 15","C7 ","M",69,4016.56
"H02083","STATE 15","C7A","M",69,4000
"H02084","STATE 12","C11","M",69,3864.06
"H02085","STATE 15","C1 ","M",69,3741.14
"H02086","STATE 17","C71","F",69,3725.26
"H02087","STATE 17","C7B",,69,3523.9
"H02088","STATE 15","C1 ","M",69,3500
"H02089","STATE 17","C71","M",69,3437.17
"H02090","STATE 10","F1 ","M",69,3401.33
"H02091","STATE 12","C11","F",69,3123.61
"H02092","STATE 01","C71","F",69,3064.5
"H02093","STATE 10","C7B","M",69,3007.96
"H02094","STATE 15","C11","M",69,2963.39
"H02095","STATE 06","C71","M",69,2848.08
"H02096","STATE 17","C7 ","F",69,2773.08
"H02097","STATE 02","C1 ","M",69,2533
"H02098","STATE 07","F71","M",69,2431.79
"H02099","STATE 06","C1 ","F",69,2378.85
"H02100","STATE 15","C7 ","M",69,2235.69
"H02101","STATE 13","C7B","M",69,2202.5
"H02102","STATE 10","F7 ","M",69,2192.98
"H02103","STATE 14","F7 ","M",69,2182.08
"H02104","STATE 15","F71","M",69,2143.83
"H02105","STATE 02","C1B","F",69,2066.24
"H02106","STATE 13","C71","F",69,2061.95
"H02107","STATE 02","C7 ","M",69,2025
"H02108","STATE 03","C7 ","M",69,2003.4
"H02109","STATE 06","C11","M",69,1888.25
"H02110","STATE 04","C7 ","M",69,1863.54
"H02111","STATE 17","C71","M",69,1856.45
"H02112","STATE 02","C7 ","F",69,1821.66
"H02113","STATE 10","C71","M",69,1752.16
"H02114","STATE 02","F11","F",69,1731
"H02115","STATE 12","C11","F",69,1709.08
"H02116","STATE 15","C11","F",69,1686.2
"H02117","STATE 15","C1A","F",69,1650
"H02118","STATE 04","C71","M",69,1648.41
"H02119","STATE 15","C1 ","F",69,1613.75
"H02120","STATE 15","C71","F",69,1601.01
"H02121","STATE 06","C71","F",69,1599.07
"H02122","STATE 15","C71","M",69,1592.26
"H02123","STATE 15","C11","M",69,1552.37
"H02124","STATE 15","C7B","M",69,1548
"H02125","STATE 10","C1 ","F",69,1543.88
"H02126","STATE 15","C7B","M",69,1502.55
"H02127","STATE 15","C71",,69,1441.86
"H02128","STATE 15","C11","M",69,1430.52
"H02129","STATE 12","C2 ","M",69,1428.87
"H02130","STATE 06","C71","M",69,1424.07
"H02131","STATE 17","C71","M",69,1381.16
"H02132","STATE 15","C7 ","F",69,1376.59
"H02133","STATE 12","C11","F",,1346.31
"H02134","STATE 02","C1 ","M",,1342.04
"H02135","STATE 04","C7 ","M",69,1336.26
"H02136","STATE 17","C71","F",69,1251.4
"H02137","STATE 02","C7 ","F",69,1248.01
"H02138","STATE 04","C71","F",69,1194.82
"H02139","STATE 15","C11","M",69,1160.5
"H02140","STATE 15","C7 ",,69,1136.97
"H02141","STATE 06","C1 ","F",69,1117.99
"H02142","STATE 03","C1 ","F",69,1117.82
"H02143","STATE 15","C2 ","M",69,1112.54
"H02144","STATE 03","C11","M",69,1085
"H02145","STATE 04","C7B","M",69,1079.39
"H02146","STATE 01","C7 ","F",69,1065.7
"H02147","STATE 04","C7 ","F",69,1058.27
"H02148","STATE 15","C1 ","M",69,1047.49
"H02149","STATE 02","C71","F",69,1036.1
"H02150","STATE 17","C71","M",69,990.86
"H02151","STATE 14","C11","M",69,958.45
"H02152","STATE 14","C71","M",69,950.61
"H02153","STATE 15","C1 ","M",69,947.71
"H02154","STATE 06","C1B","M",69,945.56
"H02155","STATE 15","C1 ","M",69,945.39
"H02156","STATE 12","C1 ","M",69,943.31
"H02157","STATE 03","C71","M",69,935.17
"H02158","STATE 04","C7 ","M",69,902.1
"H02159","STATE 15","C1 ","F",,900
"H02160","STATE 13","C71","F",69,883.75
"H02161","STATE 06","C1 ","M",,880.82
"H02162","STATE 15","C11","M",69,880.2
"H02163","STATE 15","C71","F",,875.28
"H02164","STATE 10","C71","M",69,871.16
"H02165","STATE 15","F1 ","F",69,863.43
"H02166","STATE 02","C7 ","M",69,858.42
"H02167","STATE 04","C7 ","M",69,851.49
"H02168","STATE 17","C71","M",69,835.05
"H02169","STATE 15","C7B","F",69,800
"H02170","STATE 15","C7B","M",69,787.04
"H02171","STATE 11","C7B","F",69,783.53
"H02172","STATE 06","C1 ","F",69,742.15
"H02173","STATE 02","C1 ","M",69,731.35
"H02174","STATE 15","C71","M",69,728.53
"H02175","STATE 14","C71","M",69,713.55
"H02176","STATE 17","C7 ","M",69,701.89
"H02177","STATE 02","C71","F",69,698.49
"H02178","STATE 15","C7A","M",69,695.53
"H02179","STATE 15","C71","F",,690.92
"H02180","STATE 17","C7 ",,69,689.11
"H02181","STATE 15","C1B","F",69,685
"H02182","STATE 14","F7 ","M",69,675
"H02183","STATE 15","C71","M",69,673.51
"H02184","STATE 06","C11","M",69,672.31
"H02185","STATE 15","C7 ","F",69,663.91
"H02186","STATE 03","C1 ","F",69,656.93
"H02187","STATE 15","C1 ","F",69,654.75
"H02188","STATE 15","C71","M",69,651.09
"H02189","STATE 04","C71","F",69,645.8
"H02190","STATE 04","C71","M",69,642.82
"H02191","STATE 06","C71","M",69,633.79
"H02192","STATE 15","C1 ","M",69,626.38
"H02193","STATE 17","C7B","M",69,624.26
"H02194","STATE 02","C1 ","M",69,623.89
"H02195","STATE 06","C7 ","M",69,617.4
"H02196","STATE 15","C71","M",69,609.74
"H02197","STATE 15","C11","F",69,606.36
"H02198","STATE 02","C11",,69,596.99
"H02199","STATE 07","C7 ","M",69,585.36
"H02200","STATE 15","C71","M",69,573.4
"H02201","STATE 02","C7A","F",69,559
"H02202","STATE 15","C7B","M",69,552.16
"H02203","STATE 15","C11","M",69,548.6
"H02204","STATE 03","C7B","M",69,535
"H02205","STATE 15","C1 ","M",69,514.71
"H02206","STATE 15","C1 ","M",69,498.42
"H02207","STATE 07","F7 ","M",69,498.11
"H02208","STATE 04","C7B","M",69,488.23
"H02209","STATE 15","C11","M",69,488.16
"H02210","STATE 10","C7 ","F",69,484.1
"H02211","STATE 02","C71","F",69,460.33
"H02212","STATE 15","C11","M",69,458
"H02213","STATE 15","C71","M",69,443.95
"H02214","STATE 03","C71","M",69,440.86
"H02215","STATE 17","C71","F",69,439.54
"H02216","STATE 13","C1 ","M",,431.98
"H02217","STATE 03","C7 ","M",69,400
"H02218","STATE 03","C7 ","M",69,400
"H02219","STATE 10","C1 ","F",69,399.75
"H02220","STATE 02","C1 ","M",69,394.49
"H02221","STATE 06","C7 ","F",69,390
"H02222","STATE 04","C71","M",69,376.14
"H02223","STATE 14","C11","F",69,332.52
"H02224","STATE 15","C7 ","F",69,321.6
"H02225","STATE 15","C11","M",,299.25
"H02226","STATE 17","F7 ","M",69,297.41
"H02227","STATE 15","C71","M",69,288.96
"H02228","STATE 17","C71","F",69,280.9
"H02229","STATE 06","C71","M",69,264.7
"H02230","STATE 07","C71","M",69,253.59
"H02231","STATE 03","F7 ","F",69,249.87
"H02232","STATE 15","C71","M",69,245.93
"H02233","STATE 15","C7 ","M",69,237.37
"H02234","STATE 04","C7B","M",69,234.2
"H02235","STATE 15","C7 ","F",69,223.23
"H02236","STATE 02","C7 ","M",69,209.83
"H02237","STATE 04","C71","M",69,172.06
"H02238","STATE 10","C7 ","F",69,164.7
"H02239","STATE 04","C7 ","M",69,161.2
"H02240","STATE 14","C11","M",69,138.86
"H02241","STATE 17","C7 ","F",69,128
"H02242","STATE 17","C71",,69,104.95
"H02243","STATE 15","F71","F",69,101.25
"H02244","STATE 15","C1 ","F",69,100
"H02245","STATE 04","F71","M",69,85.5
"H02246","STATE 15","C7 ","F",69,75
"H02247","STATE 15","C7 ","M",69,68.74
"H02248","STATE 15","C7 ","F",69,30
"H02249","STATE 04","C7 ","M",68,
"H02250","STATE 17","C7B",,68,14104
"H02251","STATE 15","C71","F",68,9562.71
"H02252","STATE 06","C7 ","M",68,9234.78
"H02253","STATE 06","C7 ","M",68,8381.6
"H02254","STATE 15","C11","M",68,8123.33
"H02255","STATE 15","C71","M",68,
"H02256","STATE 15","C11","F",68,6410.64
"H02257","STATE 10","C71","M",68,6386.3
"H02258","STATE 15","C1 ","M",68,6090.75
"H02259","STATE 17","C7 ","M",68,5905.64
"H02260","STATE 15","C11","F",68,5382.57
"H02261","STATE 06","C7 ","M",68,5311.27
"H02262","STATE 06","C1 ","M",68,5158.65
"H02263","STATE 17","C7B","F",68,5035.93
"H02264","STATE 17","C7 ","M",68,5004.55
"H02265","STATE 13","C7 ",,68,4689.9
"H02266","STATE 02","C71","F",68,4625.47
"H02267","STATE 12","C11","F",68,4523.97
"H02268","STATE 02","C1 ","M",68,4518.7
"H02269","STATE 06","C7B","M",68,4387.4
"H02270","STATE 15","C7B","M",68,4243.57
"H02271","STATE 12","C1B",,68,3637.01
"H02272","STATE 15","C71","M",68,3594.7
"H02273","STATE 15","C71","M",68,3354.04
"H02274","STATE 02","C71",,68,3254.87
"H02275","STATE 01","C71","F",68,3250
"H02276","STATE 06","C71","F",68,2935.61
"H02277","STATE 10","C7 ","M",68,2882.67
"H02278","STATE 10","C7 ","M",68,2786.41
"H02279","STATE 10","C7 ",,68,2524.92
"H02280","STATE 04","C71",,68,2370.82
"H02281","STATE 12","C6 ","M",68,2364.45
"H02282","STATE 02","C71","F",68,2364.24
"H02283","STATE 06","C1B","M",68,2354.21
"H02284","STATE 04","C7 ","M",68,2350
"H02285","STATE 03","C1 ","F",68,2343
"H02286","STATE 15","C7 ","M",68,2226.66
"H02287","STATE 15","C11","F",68,2144
"H02288","STATE 02","C1 ","F",,2119.74
"H02289","STATE 15","C7 ","M",68,2044.59
"H02290","STATE 17","C7B","M",68,2017.19
"H02291","STATE 12","C71","M",68,1963.85
"H02292","STATE 04","C7 ","M",68,1846.01
"H02293","STATE 10","C11","M",68,1843.84
"H02294","STATE 01","C7 ","M",68,1843.41
"H02295","STATE 15","C1 ","M",68,1815.95
"H02296","STATE 15","C11","M",,1815.83
"H02297","STATE 07","C7A","M",68,1784.47
"H02298","STATE 04","C7 ","M",68,1707.92
"H02299","STATE 06","C7 ","M",68,1695.67
"H02300","STATE 15","C7C","M",68,1694.59
"H02301","STATE 13","C7 ","F",68,1692.96
"H02302","STATE 15","F71","F",68,1644.78
"H02303","STATE 04","C7 ","F",68,1589.7
"H02304","STATE 15","C11","M",68,1589.45
